,gen_summary,ref_summary,full_text
286,Сборная россии выиграла третий поединок в рамках чемпионата мира,сборная россии одержала третью победу на домашнем чм по бенди,"сборная россии по хоккею с мячом выиграла третий поединок в рамках чемпионата мира, который в эти дни проходит в москве.во вторник дружина сергея фирсова разгромила команду норвегии со счетом 12:2. четыре гола забил евгений иванушкин, хет-трик на счету павла рязанцева, сергей ломанов оформил дубль.ранее россияне не менее уверенно обыграли сборные казахстана (14:2) и финляндии (12:4).следующий матч сборная россии проведет в среду, 27 января, против команды сша, которая проиграла три матча из трех.в других матчах игрового дня принципиальные соперники россиян в борьбе за золото турнира шведы разгромили казахстан – 12:0, а финны взяли верх над американцами – 13:2."
287,"ска обыграл ""динамо"" в рамках регулярного чемпионата","гол экмана принес ска победу над московским ""динамо"" в кхл","лучший клуб континентальной хоккейной лиги (кхл) питерский ска одержал трудную победу над московским ""динамо"" в рамках регулярного чемпионата.встреча, которая состоялась во вторник в санкт-петербурге, завершилась с минимальным счетом 1:0 в пользу хозяев. единственную шайбу на 35-й минуте забросил нильс экман.неудивительно, что лучшими игроками поединка были признаны вратари: виталий еремеев у ""динамо"" (20 отраженных бросков из 21) и роберт эш у ска (42).ска укрепил лидирующие позиции в западной конференции, набрав 110 очков. у ""динамо"" осталось 90 очков, оно делит второе-третье места с хк мвд.в другом матче вторника рижское ""динамо"" в гостях обыграло в серии буллитов череповецкую ""северсталь"" – 4:3. при этом по ходу встречи череповчане вели в счете 3:0. победный бросок на счету лауриса дарзиньша.в основное время матча у рижан авторами голов стали: марцел хосса (37-я и 50-я минуты) и майк иггулден (59). у ""северстали"" шайбы забрасывали станислав егоршев (8-я минута), виктор тихонов (10) и ладислав надь (20)."
288,Сборная россии не смогла выйти в полуфинал чемпионата европы по мини-футболу,россияне проиграли испанцам в 1/4 финала футзального евро,"сборная россии не смогла выйти в полуфинал чемпионата европы по мини-футболу, который в эти дни проходит в венгрии.во вторник команда сергея скоровича встречалась с испанцами в рамках четвертьфинала. основное время завершилось вничью – 0:0, после чего состоялась серия пенальти.бивший третьим по счету у россиян сирилло не смог переиграть вратаря соперника, и в последнем пятом ударе серии испанцам нужно было забить, чтобы выйти в полуфинал. хави родригес пробил очень сильно и точно – мяч, попав в заднюю перекладину, вылетел из ворот. однако главный арбитр встречи паскаль фриц (франция) не засчитал гол, так как ему показалось, что мяч в воротах не побывал, а ударился в переднюю верхнюю планку. испанцы, возмущенные решением судьи, бросились доказывать ему, что гол был, однако француз был непреклонен. в итоге серия продолжилась, а после шести точных ударов (по три с каждой стороны) справедливость все же восторжествовала: удар константина тимошенкова парировал испанский вратарь луис амадо.сборная испании вышла в полуфинал европейского первенства, где сыграет со сборной чехии. в другом полуфинале встретятся команда азербайджана и победитель четвертьфинала сербия - португалия."
289,оон готова собрать 575 млрд долларов для помощи гаити,оон получила почти половину запрошенных средств для помощи гаити,"экстренный призыв оон собрать 575 миллионов долларов для оказания срочной помощи гаити уже профинансирован на 49%, а с учетом обещанных донорами средств - на 60%, сообщил во вторник заместитель генерального секретаря оон по гуманитарным вопросам джон холмс на пресс-конференции в штаб-квартире организации в нью-йорке.в результате разрушительного землетрясения 12 января на гаити погибло, по разным оценкам, до 200 тысяч человек, более 3 миллионов пострадали. экономике страны нанесен огромный урон, масштаб которого будет определен в ходе совместного анализа экспертов оон, еврокомиссии, всемирного банка и межамериканского банка развития.оон 15 января обратилась к государствам и международным организациям с призывом собрать 562 миллиона долларов для чрезвычайной помощи гаити, затем эта сумма была увеличена до 575 миллионов долларов.мировое сообщество пообещало гаити более $1,2 млрд помощи - оон >>""сейчас финансирование экстренного призыва составляет 49%. это деньги, уже поступившие в рамках призыва. если говорить в целом о поступивших и обещанных средствах, то это 60% от необходимого объема денег"", - сказал холмс.собранные в рамках экстренного призыва деньги будут направлены исключительно на срочные нужды (доставка питания, воды, медикаментов, обеспечение безопасности) и не пойдут на восстановительные работы, которые финансируются отдельно.в частности, программа развития оон (проон) также объявила о срочном сборе 41 миллиона долларов для финансирования программы, в рамках которой будет нанимать жителей гаити за пять долларов в день на работы по разбору завалов, восстановлению разрушенных зданий и объектов инфраструктуры. по словам холмса, этот проект профинансирован пока на 8%. проон уже привлекла к участию в этом проекте"
290,gm согласился на продажу saab голландскому spyker,gm согласилась продать saab нидерландскому spyker,"американский автопроизводитель general motors во вторник согласился на продажу своего подразделения saab голландскому производителю спортивных автомобилей spyker, говорится в заявлении замглавы gm джона смита.""сегодняшнее заявление - отличная новость для сотрудников saab, дилеров и поставщиков, а также для миллионов клиентов и поклонников saab по всему миру"", - говорится в заявлении смита, который добавил, что в рамках сделки spyker намерен образовать новую компанию - saab spyker automobiles.условия сделки, которой еще предстоит поучить одобрение регуляторов, пока не сообщаются. в заявлении говорится, что сделка, возможно, будет завершена в середине февраля.ранее американская газета wall street journal со ссылкой на заявление источников, близких к переговорам, сообщила, что сумма сделки оценивается примерно в 400 миллионов долларов - 74 миллиона долларов и оставляемые за gm подлежащие выкупу привилегированные акций на 326 миллионов долларов, которые составляют менее 1% контрольного пакета акций saab. европейский инвестиционный банк (eib) ранее заявил о предоставлении кредита на сумму в 400 миллионов евро.ранее сообщалось о намерении gm ликвидировать свое убыточное подразделение в случае, если на saab не найдется покупателя. по данным газеты, активы saab, включая заводы, оборудование и наличные средства в настоящее время оцениваются в 1 миллиард евро, а задолженность - в 528 миллионов евро.в ходе запланированной финансовой программы spyker получит кредит в размере 50 миллионов долларов.ранее планировалось, что gm рассмотрит заявки на покупку своего убыточного подразделения до конца декабря 2009 года, приступив при этом к подготовке постепенного сворачивания производства.однако как стало известно 30 декабря, концерн согласился отложить вопрос о будущем своего шведского подразделения saab до 2010 года и продолжать рассмотр"
291,мид рф обсудил с послом сша ход переговоров по снв,замглавы мид рф обсудил с послом сша ход переговоров по снв,"замминистра иностранных дел рф сергей рябков обсудил во вторник с послом сша в москве джоном байерли ход переговоров по снв и ситуацию вокруг ядерной программы ирана, сообщает департамент информации и печати российского мид.""обсуждены ход переговоров по подготовке нового договора о стратегических наступательных вооружениях, ситуация вокруг иранской ядерной программы, некоторые вопросы двусторонних отношений"", - говорится в сообщении.срок действия договора о стратегических наступательных вооружениях истек 5 декабря 2009 года. рф и сша ведут переговоры о заключении нового документа. президент рф дмитрий медведев заявил 24 января, что ""95% вопросов"" по новому соглашению уже согласовано."
292,российские туристы блокированы на мачу-пикчу,россиян среди заблокированных в перу туристов нет - посольство рф,"российское дипломатическое представительство не подтверждает информацию некоторых сми о российских туристах, заблокированных из-за ливней и оползней в перу в городе мачу-пикчу, сообщил риа новости заведующий консульским отделом посольства россии в перу игорь канторов.около двух тысяч иностранных туристов из-за ливней и оползней оказались заблокированными в главной туристической достопримечательности перу - древнем городе инков мачу-пикчу. ранее во вторник некоторые российские сми сообщили, что среди туристов в мачу-пикчу есть и россияне.""мы обзвонили все возможные турфирмы, связались с полицейскими властями и департаментом по туризму, который занимается эвакуацией туристов из мачу-пикчу. пока информации о том, что российские туристы блокированы на мачу-пикчу нет"", - сказал канторов.однако он не исключил возможности того, что российские туристы могли находится в городе мачу-пикчу ""дикарями"".""возможно, что там могут находится, скажем так, ""дикари"". однако, к нам никто за помощью не обращался"", - отметил российский дипломат.накануне компания perurail, оператор одной из самых высокогорных в мире железных дорог была вынуждена закрыть участок пути, соединяющий археологический комплекс мачу-пикчу с городом куско. перуанское правительство в понедельник объявило в регионе чрезвычайное положение, а спасатели на вертолете вывезли из мачу-пикчу 20 пожилых и больных туристов. сейчас, по оценкам властей, в населенном пункте рядом с руинами находятся свыше 1,9 тысячи туристов из сша, европы и других стран латинской америки.по словам других очевидцев, местные гостиницы и рестораны в последние два дня резко подняли цены на свои услуги, и многие турист"
293,руководители крупнейших цирков россии поддерживают предложение минкультуры о передаче цирков в региональную собственность,цирковые деятели поддерживают идею минкультуры передать цирки регионам,"руководители крупнейших цирков россии поддерживают предложение министерства культуры рф о передаче цирков в региональную собственность, но считают, что это нужно делать осторожно, учитывая все экономические, юридические и творческие нюансы.министр культуры россии александр авдеев на встрече с премьер-министром рф владимиром путиным во вторник заявил, что минкультуры выступает за передачу цирков в региональную собственность в тех случаях, когда это возможно. по словам авдеева, сейчас ведомство готовит ""большую реорганизацию всей цирковой системы, потому что она на сегодняшний день монополизирована, что не соответствует нашему законодательству"".как заявил риа новости директор и художественный руководитель большого московского цирка на проспекте вернадского леонид костюк, покончить с монополизмом росгосцирка, переведя цирки в региональное и муниципальное подчинение, - это одно из самых верных и справедливых решений.""это решение назревало многие годы. и наконец-то первые люди государства обратили внимание на цирк и приняли мудрое решение, продиктованное самим временем. практика современных цирковых предприятий, не входящих в ""рабовладельческую"" структуру росгосцирка, показала, что будущее за региональными цирками, так как только местное руководство (региональное или муниципальное) может действительно оказывать реальную адресную помощь цирку"", - сказал костюк.с его мнением согласен дмитрий иванов - руководитель ижевского цирка, одного из самых современных и успешных в россии.""переводить цирки в региональную собственность необходимо, но процесс это не быстрый, так как он затрагивает имущественный комплекс, юридические аспекты, и нужно проводить его законодательно точно и обязательно проговорить с мэрами городов, губернаторами, какие суммы будут выделены из местных бюджетов на поддержку цирков"", - считает"
294,"российские археологи просят принять закон, который допускал бы их на частные земли","археологи просят принять закон, допускающий их на частные земли","российские археологи обратились в госдуму с инициативой принять закон, который допускал бы их на частные земли в том случае, если на этих территориях находятся объекты исторического наследия, об этом сообщил член-корреспондент ран, доктор исторических наук, директор института археологии ран (москва) николай макаров.в великом новгороде во вторник открылась всероссийская конференция археологов и историков ""новгород и новгородская земля. история и археология"", на которой обсуждался этот вопрос.""археологи должны иметь доступ к памятникам, расположенным на частных землях, с предложением о принятии такого закона мы обратились в один из комитетов госдумы"", - сказал ученый, комментируя сведения, прозвучавшие в докладе на конференции старшего научного сотрудника новгородского госмузея-заповедника (гмз) сергея торопова.в выступлении торопов рассказал о том, как в демянском и старорусском районах новгородской области сотрудники старорусской археологической экспедиции, по инициативе минкультуры и органов охраны памятников в 2009 году проводившие обследование объектов исторического наследия, не смогли попасть на территории нескольких памятников, расположенных на приватизированных землях.в частности, по словам торопова, эта ситуация была характерна для памятников, находящихся на берегах озер ильмень, велье и селигер, в том числе - в валдайском национальном парке.""в настоящий момент ведется активная застройка прибрежных зон водоемов, к памятникам, оказавшимся на этих территориях, нельзя попасть"", - сказал научный сотрудник гмз.подобную застройку прибрежных зон водоемов торопов назвал в числе других основных факторов разрушения и повреждения памятников археологии.каким образом застройщикам удавалось получить в распоряжение земли, на которых находятся объекты исторического наследия, ученый не пояснил.он добавил, что при вы"
295,мид белоруссии вручил послу польши ноту,мид белоруссии вручил ноту послу польши,"мид белоруссии вручил послу польши генрику литвину ноту в связи с действиями некоторых сотрудников диппредставительства, сообщил риа новости представитель мид белоруссии.польский посол был вызван в мид белоруссии, где в ходе состоявшейся беседы внимание руководителя польского загранучреждения было привлечено к фактам действий отдельных сотрудников посольства республики польша в белоруссии, ""которые не соответствуют базовым международно-правовым документам, регулирующим деятельность иностранных дипломатов в странах аккредитации"".""по итогам состоявшейся встречи генрику литвину была вручена соответствующая нота мид белоруссии"", - сказали в ведомстве.при этом мид белоруссии не поясняет, какие действия польских дипломатов вызвали протест.на встрече белорусская сторона подтвердила заинтересованность в поступательном развитии добрососедских отношений с польшей на основе принципов равноправия и взаимного уважения."
296,В брюсселе одобрили рамочный договор о военном сотрудничестве,начальники генштабов рф и стран нато одобрили договор о сотрудничестве,"участники заседания совета россия-нато (срн) на уровне начальников генштабов на заседании во вторник в брюсселе одобрили рамочный договор о военном сотрудничестве между россией и нато, сообщил риа новости чиновник брюссельской штаб-квартиры нато, пожелавший остаться неназванным.он назвал сегодняшнее решение ""очень важным шагом"" на пути восстановления практического сотрудничества между военными рф и нато, которое было прервано после конфликта в южной осетии.по словам натовского чиновника, начальники генштабов россии и нато договорились вновь собраться в мае в брюсселе с тем, чтобы одобрить детальную программу практического военного сотрудничества.в ходе сегодняшнего совещания, сообщил собеседник риа новости, речь шла о ""практическом сотрудничестве в области логистики, борьбе с терроризмом и пиратством, а также проведении операций по поиску и спасению на море"".россию на встрече представлял начальник генштаба вс рф генерал армии николай макаров.начальники генштабов рф и стран нато проведут новую встречу в брюсселе в мае - рогозин >>отношения между россией и нато обострились после начатых грузией 8 августа 2008 года военных действий в южной осетии. россия, защищая жителей республики, многие из которых приняли гражданство рф, ввела войска в южную осетию и после пяти дней боевых действий вытеснила грузинских военных из региона.страны нато обвинили российскую сторону в непропорциональном применении силы и объявили о приостановке заседаний срн на всех уровнях. россия в ответ решила заморозить ряд совместных программ с североатлантическим альянсом.на встрече в брюсселе в марте 2009 года главы мид стран нато решили восстановить полноформатное сотрудничество альянса с рф.в"
297,"В париже матвиенко не обсуждала о строительстве башни ""охта центра""","матвиенко не обсуждала с директором юнеско строительство ""охта центра""","губернатор санкт-петербурга валентина матвиенко обсудила во вторник в париже с гендиректором юнеско ириной боковой предстоящие изменения в официальном списке объектов всемирного культурного наследия северной столицы, но не говорила о строительстве башни ""охта центра"", сообщила матвиенко журналистам по окончании встречи.проект 403-метрового небоскреба, который может стать доминантой комплекса, разделил город на два непримиримых лагеря. часть петербуржцев опасается, что небоскреб испортит панораму северной столицы, исторический центр которой внесен в фонд международного культурного наследия юнеско. сама организация выразила озабоченность по поводу строительства ""охта центра"" и заявила о возможности внесения петербурга в список городов, где ""мировое наследие под угрозой"" в случае строительства небоскреба.однако мэр санкт-петербурга не видит причин ставить вопрос об исключении города из списка всемирного наследия юнеско.""госпожа бокова, на мой взгляд, сказала очень правильную мысль: всегда надо находить баланс между развитием и сохранением культурно-исторического наследия"", - сказала матвиенко, которой бокова вручила во вторник почетный диплом лауреата премии юнеско за вклад в толерантность и ненасилие.""что касается охта центра, то он не входит в охранную зону, он за пределами охранной зоны, поэтому эта тема не обсуждалась"", - отметила матвиенко.на встрече, которая продолжалась около 15 минут, матвиенко и бокова обсудили предстоящую инвентаризацию объектов, включенных в охраняемую зону юнеско.""когда 20 лет назад советский союз выступил с такой номинацией и обратился в юнеско, тогда не было ни жестких критериев, ни требований, ни правил - это был свод пожеланий. когда четыре с лишним тысячи гектар попали как"
298,"В 2009 г доходы ""ems почта россии"" от услуг экспресс-доставки выросли на 31%","доходы ""почты россии"" от услуг экспресс-доставки выросли на 31%","доходы ""ems почта россии"", филиала фгуп ""почта россии"" в области экспресс-доставки, в 2009 году выросли на 31% - до 1,8 миллиарда рублей, сообщил замгендиректора почтового предприятия игорь мандрыкин во вторник на пресс-конференции в риа новости.доля доходов от услуг экспресс-доставки в структуре выручки ""почты россии"" в минувшем году составила 2%, уточнил он, отметив, что эта услуга является лидером по прибыльности и имеет большое значение для федерального почтового оператора. ""в условиях снижения темпов роста доходов от оказания финансовых услуг на почте прибыль, генерируемая ""ems почта россии"", направляется не только на развитие услуги, но и частично субсидирует убытки от оказания регулируемых почтовых услуг"", - пояснил замглавы почтового предприятия.как сообщил в свою очередь директор ""ems почта россии"" александр тимофеев, за 2009 год компанией в россии было доставлено более 3,4 миллиона отправлений ems. соотношение внутрироссийских и международных отправлений составило 80% и 20% соответственно. по итогам года рост внутрироссийских отправлений составил 33%, пересылка международных отправлений, напротив, сократилась на 2%.тимофеев также сообщил, что если на момент запуска услуги экспресс-доставки (2004 год) основными ее потребителями были физлица, то по итогам 2009 года основная доля доходов от этих услуг (65%) пришлась на корпоративных клиентов и лишь 35% - на физлиц.по словам главы ""ems почта россии"", в последнее время ""колоссальный рост"" демонстрируют доходы от доставки товаров интернет-магазинов. в 2009 году компания доставила более 60 тысяч отправлений интернет-магазинов, заработав на этом более 500 миллионов рублей. ежегодный рост этого сегмента составляет более 20%, и первый месяц 2010 года показал, что этот тренд сохраняется, отметил тимофеев. по его слова"
299,более 30 домов в двух районах казани остались без тепла,авария на тепловоде стала причиной отключения тепла в 34 домах казани,"более 30 домов в двух районах казани остались без тепла на несколько часов во вторник днем из-за повреждения трубопровода, уже к вечеру в большинстве из них теплоснабжение было восстановлено, сообщил риа новости дежурный диспетчер оао ""казанская теплосетевая компания"".""при забивании свай на строительстве развязки в московском районе казани в 12.30 мск был поврежден магистральный трубопровод, подающий тепло в московский и кировский районы города. без тепла остались 34 многоквартирных дома, одна школа и четыре детских сада"", - сказал собеседник агентства.однако, по его словам, жители кировского района почти не заметили происшествия - буквально через несколько часов эта ветка была запитана с другой стороны.в настоящее время, по информации представителя теплосетевой компании, все ремонтные работы завершены, производится запитка трубопровода. пока без тепла остаются девять домов в московском районе казани, в четырех из которых отсутствует и горячая вода.""тепло- и водоснабжение в этих домах должно быть восстановлено в течение часа-двух"", - добавил собеседник агентства."
300,В рф запретили профессиональную съемку без разрешения на территории кремля,ограничения на профессиональную фотосъемку в кремле могут быть сняты,"ограничения на профессиональную съемку в кремле и на красной площади могут быть сняты, разобраться с этим вопросом поручено федеральной службе охраны (фсо).как подтвердила во вторник риа новости пресс-секретарь президента рф наталья тимакова, главе государства известно о запрете на профессиональную фотосъемку без разрешения на территории кремля и красной площади. по ее словам, дмитрий медведев поручил с этим разобраться.""президент уже дал указание директору фсо евгению мурову разобраться с этой ситуацией"", - сообщила тимакова.во вторник один из блогеров написал, что ему удалось поговорить с медведевым на горнолыжном курорте красная поляна и пожаловаться на ограничения снимать профессиональной фотоаппаратурой.как ранее разъясняли в мосгордуме, разрешение на любительскую фотосъемку на территории кремля не требуется, но существуют ограничения на сами фотоаппараты. на проведение профессиональной фото- и видеосъемки на территории кремля требуется специальное разрешение коменданта."
301,В москве баррикадируются в своих домах,"жители ""речника"" начинают апеллировать к мировой общественности","жители поселка ""речник"" на западе москвы не верят заверениям судебных приставов отсрочить снос тех, кому негде больше жить, и баррикадируются в своих домах. жители утверждают, что в домах заканчивается топливо для обогрева, а также продукты.не добившись приостановки сноса домов, ""речники"" намерены теперь обратиться к мировой общественности - в среду около 100 жителей планируют прийти к посольству сша или фрг.пока же жителям поселка удалось привлечь внимание к расположенному по соседству с ""речником"" в той же природоохранной зоне элитному коттеджному комплексу ""остров фантазий"" - выясняется, что землю москва отводила под спортивный центр, а не жилье.так кто же прав?противостояние жителей ""речника"" и приставов, у которых, по их утверждению, есть все документы на снос домов, длится шестой день. приставы снесли уже девять домов, еще по 29 строениям дела находятся в производстве.в 1950-е годы на территории парка ""москворецкий"" будущим жителям ""речника"" были выделены небольшие участки под огороды без права строить на этой земле дома. однако территория застраивалась, и уже в 70-е годы были вынесены первые постановления о сносе зданий.крупный скандал вокруг ""речника"" разгорелся в 2006 году. тогда росприроднадзор инициировал проверку законности 400 строений, возведенных в поселке, и с тех пор продолжались судебные разбирательства между жителями поселка и властями. по большинству участков были приняты решения о сносе.сами жители ""речника"" утверждают, что в 2006 году, после вступления в силу водного кодекса рф, большая часть земель поселка, расположенная вдоль поймы москвы-реки, была оформлена в федеральную собственность, а про них ""просто забыли"". помимо этого, жители у"
302,Документальное свидетельство холокоста залмана градовского подготовлено к 65-летию освобождения зондеркоманды,дневник узника освенцима залмана градовского будет издан в россии,"документальное свидетельство холокоста - подробный дневник узника освенцима залмана градовского, который работал в сжигавшей заключенных зондеркоманде, подготовлено к печати в россии к 65-летию освобождения концлагеря советскими войсками, сообщил риа новости член совета федерации владимир слуцкер.сенатор, который в этом году возглавил специальную миссию европарламентариев, принял во вторник участие в состоявшейся в польском кракове международной конференции с участием депутатов национальных парламентов. основная тема конференции - недопущение пересмотра истории и возрождения фашизма на европейском континенте.""на конференции, объединившей более 150 парламентариев из 30 европейских стран, было принято решение о том, что дневник градовского будет переведен на другие европейские языки и издан в ряде стран европы"", - сказал слуцкер.по его словам, в решении конференции отмечается, что ""записи градовского - шокирующая правда, рассказанная очевидцем трагедии о повседневной практике и чудовищной технологии геноцида, организованного нацистами"". дневник узника освенцима может быть отнесен к важнейшим документальным свидетельствам холокоста, отметил сенатор.слуцкер рассказал, что запаянная в стальную несгораемую флягу рукопись на 80 страницах была найдена советскими воинами при освобождении освенцима в пепле жертв холокоста. ""я закопал это в яму с пеплом, - писал градовский, - как самое надежное место, где, наверное, будут вести раскопки, чтобы найти следы миллионов погибших"".обнаруженная красноармейцами рукопись, написанная на идише, более 60 лет пролежала в запасниках военно-медицинского музея в санкт-петербурге. слуцкер сообщил, что к печати на русском языке книгу подготовили историки в рамках проекта международной парламентской организации, которая объединяет депутатов национальных парламентов стран европы, от"
